,AintIAWoman,BigMammaRag,DoItNow,GoldFlower
AintIAWoman,0.3136363923549652,0.2406875342130661,0.1941697597503662,0.21411462128162384
BigMammaRag,0.2406875342130661,0.2520970106124878,0.20327815413475037,0.2189672887325287
DoItNow,0.1941697597503662,0.20327816903591156,0.31678247451782227,0.18964356184005737
GoldFlower,0.21411462128162384,0.2189672887325287,0.18964356184005737,0.21988750994205475
